two dog wrestle hug	 | no dog wrestling hugging	 | CONTRADICTION	 | NEUTRAL
person black jacket trick motorbike	 | person black motorbike trick jacket	 | NEUTRAL	 | ENTAILMENT
player miss basket crowd background	 | player dunk basketball net crowd background	 | CONTRADICTION	 | NEUTRAL
no man dunk ball basketball game	 | player dunk basketball net crowd background	 | CONTRADICTION	 | NEUTRAL
two spectator kickboxing people watch	 | two people kickboxing spectator watch	 | NEUTRAL	 | ENTAILMENT
child red shirt play leaf	 | child cover leaf play red shirt	 | NEUTRAL	 | ENTAILMENT
two child lie snow draw angel	 | two child lie snow make snow angel	 | ENTAILMENT	 | NEUTRAL
two people wear snowsuit ground making snow angel	 | two people snowsuit lie snow make snow angel	 | ENTAILMENT	 | NEUTRAL
two people snowsuit lie snow make snow angel	 | nobody snowsuit lie snow make snow angel	 | CONTRADICTION	 | ENTAILMENT
two child lie snow make snow angel	 | nobody snowsuit lie snow make snow angel	 | CONTRADICTION	 | NEUTRAL
little girl look woman costume	 | little girl costume look like woman	 | NEUTRAL	 | ENTAILMENT
four kid backbend park	 | four girl backbend play outdoors	 | ENTAILMENT	 | NEUTRAL
two group people play football	 | two team compete football match	 | ENTAILMENT	 | NEUTRAL
five child stand front wooden hut	 | five child stand front hut make wood	 | ENTAILMENT	 | NEUTRAL
nobody practice water safety wear preserver	 | group people practice water safety wear preserver	 | CONTRADICTION	 | NEUTRAL
deer jump fence	 | deer jump enclosure	 | ENTAILMENT	 | NEUTRAL
deer jump fence	 | deer n't jump fence	 | CONTRADICTION	 | ENTAILMENT
several people front building cover color	 | several people front colorful building	 | ENTAILMENT	 | NEUTRAL
several people front building cover color	 | people walk outside building many mural	 | ENTAILMENT	 | NEUTRAL
child hit baseball	 | child miss baseball	 | CONTRADICTION	 | NEUTRAL
little boy watch family hit baseball	 | family watch little boy hit baseball	 | NEUTRAL	 | ENTAILMENT
family watch boy hit baseball	 | child hit baseball	 | ENTAILMENT	 | NEUTRAL
family watch little boy hit baseball	 | child hit baseball	 | ENTAILMENT	 | NEUTRAL
large group asian people eat restaurant	 | group people large asian restaurant eat	 | NEUTRAL	 | ENTAILMENT
various people eat red table crowded restaurant purple light	 | various customer eat crowded restaurant purple light	 | ENTAILMENT	 | NEUTRAL
people eat red table restaurant without light	 | various people eat red table crowded restaurant purple light	 | NEUTRAL	 | ENTAILMENT
rider black white bike stand seat	 | motorcycle rider stand seat white motorcycle	 | NEUTRAL	 | ENTAILMENT
nobody motorcycle stand seat	 | motorcycle rider stand seat white motorcycle	 | CONTRADICTION	 | NEUTRAL
someone black white motorcycle stand seat	 | no motorcycle rider stand seat motorcycle	 | CONTRADICTION	 | NEUTRAL
man helmet paint red rid blue motorcycle road	 | motorcyclist rid motorbike along roadway	 | ENTAILMENT	 | NEUTRAL
no motorcyclist rid motorbike along roadway	 | motorcyclist red helmet rid blue motorcycle road	 | CONTRADICTION	 | NEUTRAL
motorcyclist red helmet rid blue motorcycle road	 | motorcyclist rid motorbike along roadway	 | ENTAILMENT	 | NEUTRAL
no dog leap air	 | dog leap high air another watch	 | CONTRADICTION	 | NEUTRAL
woman wear egyptian headdress	 | egyptian wear woman 's headdress	 | NEUTRAL	 | ENTAILMENT
woman not wearing glass headdress	 | woman wear glass black headdress	 | CONTRADICTION	 | NEUTRAL
black woman wear glass headdress	 | woman wear glass black headdress	 | NEUTRAL	 | ENTAILMENT
woman wear egyptian headdress	 | woman black hat wear sunglass	 | NEUTRAL	 | ENTAILMENT
woman wear indian headdress	 | woman wear glass black headdress	 | NEUTRAL	 | ENTAILMENT
woman wear glass black headdress	 | woman wear egyptian headdress	 | NEUTRAL	 | ENTAILMENT
cowboy rid horse corner barrel	 | cowgirl rid horse corner barrel	 | NEUTRAL	 | ENTAILMENT
cowgirl rid barrel near horse corner	 | cowgirl rid horse corner barrel	 | NEUTRAL	 | ENTAILMENT
boy stand outside water	 | boy stand water	 | NEUTRAL	 | ENTAILMENT
person blonde flyaway hair play guitar	 | guitarist blonde flyaway hair	 | ENTAILMENT	 | NEUTRAL
man point silver sedan	 | no man point car	 | CONTRADICTION	 | NEUTRAL
man , woman two girl walk beach	 | group people near sea	 | ENTAILMENT	 | NEUTRAL
asian woman crowd carry black bag	 | asian woman midst many people carry black bag	 | ENTAILMENT	 | NEUTRAL
dog chase another hold stick mouth	 | dog chase stick hold another dog mouth	 | NEUTRAL	 | ENTAILMENT
no dog run carry object mouth	 | dog chase another hold stick mouth	 | CONTRADICTION	 | NEUTRAL
no dog chase another hold stick mouth	 | two dog run carry object mouth	 | NEUTRAL	 | ENTAILMENT
soccer player kick ball goal	 | soccer player kick ball goal	 | NEUTRAL	 | ENTAILMENT
black tan dog run low green grass	 | white tan dog run tall green grass	 | NEUTRAL	 | ENTAILMENT
group explorer walk grass	 | people walk	 | ENTAILMENT	 | NEUTRAL
two men hold bike stand side road cover snow	 | two men bike side snowy road	 | ENTAILMENT	 | NEUTRAL
two men bike side snowy road	 | two men walk snowy road	 | NEUTRAL	 | ENTAILMENT
two men hold water stand near fishing pole	 | two men stand near water hold fishing pole	 | NEUTRAL	 | ENTAILMENT
two men stand near water hold fishing pole	 | two men hold fishing pole fishing tackle	 | NEUTRAL	 | ENTAILMENT
two men stand near water hold fishing pole	 | two men hold fishing pole	 | ENTAILMENT	 | NEUTRAL
blond girl rid wave	 | blond girl wave rid	 | NEUTRAL	 | ENTAILMENT
lady surf rid wave	 | woman surf	 | ENTAILMENT	 | NEUTRAL
two child hang large branch	 | two child climb tree	 | ENTAILMENT	 | NEUTRAL
black man green rid bike	 | man dress black rid bike	 | NEUTRAL	 | ENTAILMENT
man perform trick green bicycle	 | man perform trick bike	 | ENTAILMENT	 | NEUTRAL
child hold squirt gun	 | no child hold water gun get spray water	 | CONTRADICTION	 | NEUTRAL
no child hold squirt gun	 | laughing child hold water gun get spray water	 | CONTRADICTION	 | NEUTRAL
laughing child hold water gun get spray water	 | child hold squirt gun	 | ENTAILMENT	 | NEUTRAL
man n't sit comfortably table	 | man sit comfortably table	 | CONTRADICTION	 | ENTAILMENT
man sit table comfortable discussion	 | man sit comfortably table	 | NEUTRAL	 | ENTAILMENT
man sit comfortably table	 | no man wear shirt dyed black , sit table laughing	 | NEUTRAL	 | CONTRADICTION
woman wear silver pant , pink bellbottoms pink scarf happily rid bike	 | woman wear silver pant , pink bellbottoms pink scarf rid bike	 | ENTAILMENT	 | NEUTRAL
woman wear silver pant , pink bellbottoms pink scarf n't rid bike	 | woman wear silver pant , pink bellbottoms pink scarf rid bike	 | CONTRADICTION	 | NEUTRAL
one man wear black helmet push bicycle	 | man push helmet towards another one black bicycle	 | NEUTRAL	 | ENTAILMENT
woman sit look waterfall	 | somebody sit waterfall look woman	 | NEUTRAL	 | ENTAILMENT
backyard light play trick dark brown black dog	 | dark black dog light brown dog play backyard	 | NEUTRAL	 | ENTAILMENT
dog brown white coat trot shallow water	 | brown white coat float across shallow water near trotting dog	 | NEUTRAL	 | ENTAILMENT
white man walk dog brown water difficulty	 | white brown dog walk water difficulty	 | NEUTRAL	 | ENTAILMENT
group boy play ball front large door make wood	 | ball make wood play door front large group boy	 | NEUTRAL	 | ENTAILMENT
child n't play front large door	 | child play front large door	 | CONTRADICTION	 | ENTAILMENT
group boy play ball front large door make wood	 | child play front door , large	 | ENTAILMENT	 | NEUTRAL
group boy play ball front large door make wood	 | child play front large door	 | ENTAILMENT	 | NEUTRAL
teenage girl wear bead red	 | girl like red n't wear bead teenager	 | NEUTRAL	 | ENTAILMENT
young lady light brown hair wear red necklace , sweatshirt earring smile	 | teenage girl wear bead red	 | ENTAILMENT	 | NEUTRAL
boy climb wall artificially build climb attach rope	 | boy come wall artificially build climb n't attach rope	 | CONTRADICTION	 | ENTAILMENT
boy climb wall artificially build climb attach rope	 | climber wall attach climb boy artificially build rope	 | NEUTRAL	 | ENTAILMENT
fearful little boy climb wall	 | little boy , look fearful , climb wall .	 | ENTAILMENT	 | NEUTRAL
one man descend cliff rope	 | one man climb cliff rope	 | NEUTRAL	 | ENTAILMENT
person climb rock rope , pink	 | person pink climb gear rope rock	 | NEUTRAL	 | ENTAILMENT
young climber make rock wall boy	 | young boy climb wall make rock	 | NEUTRAL	 | ENTAILMENT
young child climb rock climb wall indoors	 | young child rock climb wall indoors	 | NEUTRAL	 | ENTAILMENT
young boy climb wall make rock	 | young kid climb rock climb wall indoors	 | NEUTRAL	 | ENTAILMENT
young child rock climb wall indoors	 | young boy climb wall make rock	 | NEUTRAL	 | ENTAILMENT
young boy n't climb wall make rock	 | young child climb rock climb wall indoors	 | NEUTRAL	 | ENTAILMENT
young child climb rock climb wall indoors	 | young boy climb wall make rock	 | NEUTRAL	 | ENTAILMENT
one man bicycle trick midair	 | man fail perform bicycle trick midair	 | NEUTRAL	 | ENTAILMENT
air trick performing cyclist	 | cyclist perform trick air	 | NEUTRAL	 | ENTAILMENT
one man trick bicycle midair	 | cyclist perform trick air	 | ENTAILMENT	 | NEUTRAL
man fail perform bicycle trick midair	 | cyclist perform trick air	 | CONTRADICTION	 | NEUTRAL
one man bicycle trick midair	 | cyclist perform trick air	 | ENTAILMENT	 | NEUTRAL
dog , black , white one ignore street	 | dog , black , white one star street	 | CONTRADICTION	 | NEUTRAL
along two street , different breed dog look	 | two dog different breed look across street	 | NEUTRAL	 | ENTAILMENT
man woman sit comfortably bench	 | two people sit comfortably bench	 | ENTAILMENT	 | NEUTRAL
bride leave groom wedding	 | bride groom leave wedding	 | NEUTRAL	 | ENTAILMENT
married couple walk aisle	 | couple get marry walk isle	 | ENTAILMENT	 | NEUTRAL
married couple walk aisle	 | priest walk aisle marry couple	 | NEUTRAL	 | ENTAILMENT
couple get marry walk isle	 | bride groom leave wedding	 | ENTAILMENT	 | NEUTRAL
student fill classroom	 | classroom full student	 | ENTAILMENT	 | NEUTRAL
classroom full student	 | classroom empty	 | CONTRADICTION	 | NEUTRAL
presentation n't watch classroom student	 | presentation watch classroom student	 | CONTRADICTION	 | ENTAILMENT
presentation n't watch classroom student	 | classroom full student	 | NEUTRAL	 | ENTAILMENT
presentation watch classroom student	 | classroom full student	 | ENTAILMENT	 | NEUTRAL
woman , old , near white dog	 | woman , old , white dog	 | NEUTRAL	 | ENTAILMENT
dog excitedly play water field	 | dog excitedly play water grass	 | ENTAILMENT	 | NEUTRAL
dog snap droplet water	 | snap depict water fall droplet dog	 | NEUTRAL	 | ENTAILMENT
girl asia , front brick window , look surprised	 | girl asia , front window make brick , look surprise	 | ENTAILMENT	 | NEUTRAL
girl asia , front brick window , n't look surprised	 | girl asia , front brick window , look surprised	 | CONTRADICTION	 | ENTAILMENT
girl wear t-shirt mouth open .	 | girl t-shirt keep mouth open	 | ENTAILMENT	 | NEUTRAL
football foot boy lie grass	 | football n't foot boy lie grass	 | CONTRADICTION	 | ENTAILMENT
little kid play football fall grass	 | football player fall grass dodge little kid	 | NEUTRAL	 | ENTAILMENT
black white dog joyfully run grass	 | dog , black coat , white dog run grass	 | ENTAILMENT	 | CONTRADICTION
one white dog one black one run side side grass	 | no dog joyfully run grass	 | NEUTRAL	 | CONTRADICTION
black white dog joyfully run grass	 | one white dog one black one run side side grass	 | NEUTRAL	 | CONTRADICTION
lot people ice skating park	 | n't many people ice skate park	 | CONTRADICTION	 | ENTAILMENT
many people skate ice park	 | ice skate rink place outdoors full people	 | ENTAILMENT	 | NEUTRAL
bunch guy shore	 | bunch people shore	 | ENTAILMENT	 | NEUTRAL
no one shore	 | bunch people shore	 | CONTRADICTION	 | NEUTRAL
people beach full sand ocean enjoy day full sun	 | bunch people shore	 | ENTAILMENT	 | NEUTRAL
people beach full sand ocean enjoy sunny day	 | no one shore	 | CONTRADICTION	 | NEUTRAL
man blue jumpsuit fail perform wheelie motorcycle	 | man blue jumpsuit courageously perform wheelie motorcycle	 | CONTRADICTION	 | ENTAILMENT
girl red shirt blow bubble	 | girl dyed red shirt n't blow bubble	 | CONTRADICTION	 | NEUTRAL
bubble blew , dye girl 's shirt red .	 | girl red shirt blow bubble	 | NEUTRAL	 | ENTAILMENT
girl , young , blow bubble huge	 | girl red shirt blow bubble	 | NEUTRAL	 | ENTAILMENT
little boy jump puddle street	 | little boy get puddle street	 | NEUTRAL	 | ENTAILMENT
two young kid eat corndogs	 | two young kid fast	 | CONTRADICTION	 | NEUTRAL
two young kid play man eat corndogs	 | two young kid eat corndogs	 | NEUTRAL	 | ENTAILMENT
two toddler eat really small wagon full corndogs	 | two young kid eat corndogs	 | NEUTRAL	 | ENTAILMENT
man shirt dyed purple look man black shirt funny face	 | man pose amusedly watch another man	 | ENTAILMENT	 | NEUTRAL
